Old SGV properties and classes,Was used in classes,Amended and new SGV properties and classes,Will be used in classes,EN,DE,FR,IT,Mapping to external vocabularies (mainly Schema.org),PIA JSON API Endpoint,PIA JSON API Path, Linked Art Property/Class/Pattern (CIDOC-CRM)
hasSignature,"Image, Film, Tonbildschau, Album, Collection",hasSignature,"Collection, Object",Signature,Signatur,Cote,Segnatura,schema:identifier,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,$.data.attributes.signature,"identfied_by (P1) - type:""Identifier"""
hasTitle,"Image, Film, Tonbildschau, Sequence, Album, Collection",hasTitle,"Collection, Dataset, Object, Sequence",Title,Titel,Titre,Titolo,schema:name,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,$.data.attributes.title,"identfied_by (P1) - type:""Name"""
hasDate,"Image, Film, Tonbildschau, Album, Collection",hasDate,"Collection, Object, Event",Date,Datum,Date,Data,schema:temporal,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,$.data.attributes.date,produced_by (P108i) > timespan (P4)
hasGeography,"Image, Film",hasPlace,"Object, Event",Place,Ort ,Lieu,Luogo,schema:location,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,$.data.attributes.label,produced_by (P108i) > took_place_at (P7)        
hasPerson,"Image, Film, Album",hasCreator,"Object, Dataset, Collection","Producer/
Collector","HerstellerIn/
SammlerIn","Auteur/
collectionneur-trice","Autore/
collezionista",schema:creator,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/agents,$.data.[attributes].name,produced_by (P108i) > carried_out_by (P14)
hasContent,"Image, Film, Sequence",isRepresentationOf,"Object, Dataset, Sequence",Depicted persons/institutions,"Abgebildete 
Personen/Institutionen",Personnes/Institutions représentées,Persone/Istituzioni rappresentate,edm:isRepresentationOf,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/agents,$.data.[attributes].name,
hasSubject,Image,hasKeywords,"Object, Dataset, Collection",Keywords,Schlagworte,Mots-clés,Parola chiave,schema:keywords,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/keywords,$.data.[attributes].label,
hasTag,"Image, Film",hasConcept,"Object, Dataset, Collection, Event",Concept,Konzepte,Concept,Concetto,schema:about,The endpoint not yet deployed,,"shows (P65), digitally_shows > represents_instance_of_type (P199)"
hasComment,"Image, Film, Album, Collection, Persons",hasComment,"Collection, Object, Agent",Comments,Kommentare,Commentaires,Commentaires,,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/comments,$.data.[attributes].comment,referred_to_by (P67i)
hasOldnr,"Image, Film",hasOldNr,Object,Former identifier,Alte Nummer,Ancien identifiant,Vecchia segnatura,schema:identifier,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,$.data.attributes.oldnr,"identfied_by (P1) - type:""Identifier"""
hasIn_collection,"Image, Film, Album",hasCollection,"Object, Dataset",Is part of,Teil von,Fait partie de,È parte di,schema:isPartOf,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/collections,$.data.[attributes].label,member_of 
hasPart_of,Image,isPartOf,Object,Is part of,Teil von,Fait partie de,È parte di,schema:isPartOf,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
hasObjecttype,"Image, Film, Album",hasObjectType,Object,Type of object,Objekttyp,Type d'objet,Tipologia di obiettivo,schema:material,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/people,The endpoint doesn't work yet,classified_as (P2)
hasModel,"Image, Film",hasMedium,Object,Technique / Medium,Vorlage,Technique / Media,Supporto,schema:artMedium,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/people,The endpoint doesn't work yet,classified_as (P2)
hasFormat,Image,hasFormat,Object,Format,Format,Format,Formato,schema:size,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/people,The endpoint doesn't work yet,dimension (P43)
hasCopyright,"Image, Film",hasCopyrightHolder,"Object, Dataset, Collection",Copyright,Copyright,Droits d'auteur,Dritti d'autore,schema:copyrightHolder,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
hasRef_img,Image,isVisuallySimilarTo,Object,Visually similar pictures,Ähnliche Bilder,Images semblables,Immagini simili,edm:isRelatedTo,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
hasGeography_old,Image,,,,,,,,,,
hasOnalbumpage,Image,,,,,,,,,,
hasInalbum,Image,isPartOf,,,,,,,,,
hasverso,Image,hasVerso,Object,Verso,Verso,Verso,Verso,edm:isRelatedTo,https://data.participatory-archives.ch/api/v1/images/<id>/verso,The endpoint doesn't work yet,
hasSeqnum,Image,hasSeqNr,Object,Sequence number,Sequenznummer,Numéro de séquence,Numero di scala,,,,
hasName,"Persons, Subject",hasName,"Agent, Event",Name,Name,Nom,Nome,schema:name,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,$.data.attributes.name,"identfied_by (P1) - type:""Name"""
hasDescription_rt,"Subject, Sequence, Album, Collection",hasDescription,"Concept, Sequence, Collection, Object, Dataset, Agent, Event",Description,Beschreibung,Description,Descrizione,schema:description,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,$.data.attributes.description,
hasFamily,Persons,hasFamily,Agent,Family Member,Familienmitglied,Membre de la famille,Membro della famiglia,schema:relatedTo,https://data.participatory-archives.ch/api/v1/agents/<id>,$.data.attributes.family,
hasJob,Persons,hasJobTitle,Agent,Job title,Ausbildung/Beruf,Profession,,schema:jobTitle,https://data.participatory-archives.ch/api/v1/agents/<id>,,
hasBirthdate,Persons,hasBirthDate,Agent,Birth date,geboren/gegründet am,Date de naissance,Data di nascita,schema:birthDate,https://data.participatory-archives.ch/api/v1/agents/<id>,,born (P98i) > timespan (P4) 
hasBirthplace,Persons,hasBirthPlace,Agent,Birth place,geboren/gegründet in,Lieu de naissance,Luogo di nascita,schema:birthPlace,https://data.participatory-archives.ch/api/v1/agents/<id>,,born (P98i) > took_place_at (P7) 
hasBirthplace_old,Persons,hasBirthPlaceOld,,,,,,,,,
hasDeathdate,Persons,hasDeathDate,Agent,Death date,verstorben/aufgelöst am,Date de mort,Data di morte,schema:deathDate,https://data.participatory-archives.ch/api/v1/agents/<id>,,died (P100i) > timespan (P4)
hasDeathplace,Persons,hasDeathPlace,Agent,Death place,verstorben/aufgelöst in,Lieu de mort,Luogo di morte,schema:deathPlace,https://data.participatory-archives.ch/api/v1/agents/<id>,,died (P100i) > took_place_at (P7) 
hasDeathplace_old,Persons,hasDeathPlaceOld,,,,,,,,,
hasLiterature,"Persons, Collection",hasLiterature,"Agent, Collection",Literature,Literatur,Littérature,,,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/literatures,,
hasIndexing_rt,"Album, Collection",hasIndexing,"Object, Collection",Indexing notes,Erschliessungsprotokoll,Notes de catalogage et d'indexation,,,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
hasRestoration,Collection,hasRestoration,"Collection, Object",Restoration notes,Restaurierungsprotokoll,Notes de conservation et restauration,,,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
hasStandorte,Collection,hasArchiveLocation,"Collection, Object, Dataset",Archive location,Standortverwaltung,Lieu de conservation,,schema:spatial,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
hasDefault_image,Collection,hasDefaultImage,Collection,Example image,Bildverknüpfung,Image témoin,,schema:workExample,https://data.participatory-archives.ch/api/v1/collections/<id>/,$.data.attributes.default_image,
hasEmbedded_video,Collection,hasEmbeddedVideo,Collection,Embedded video,Eingebettes Video,Vidéo embarquée,Video incorporato,schema:workExample,https://data.participatory-archives.ch/api/v1/collections/<id>/,$.data.attributes.embedded_video,
hascomment_rt,Tonbildschau,hasComment,,,,,,,,,
